Year,Semester,Course,Credits
First Year,Fall,COMM 160*,1
First Year,Spring,General Education Course (GN),3
First Year,Fall,COMM 271*,3
First Year,Spring,General Education Course (GH),3
First Year,Fall,ENGL 15 or  30H‡,3
First Year,Spring,General Education Course (GS),3
First Year,Fall,General Education Course (GN),3
First Year,Spring,General Education Course (Inter-Domain),3
First Year,Fall,World Language,4
First Year,Spring,World Language,4
Second Year,Fall,COMM 260W*1,3
Second Year,Spring,COMM 360*2,3
Second Year,Fall,General Education Course (Inter-Domain),3
Second Year,Spring,Minor Course*,3
Second Year,Fall,General Education Course (Exploration),3
Second Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,World Cultures,3
Second Year,Spring,General Education Course (GA),3
Second Year,Fall,World Language,4
Second Year,Spring,BA Knowledge Domain (US Cultures),3
Third Year,Fall,COMM 465*,3
Third Year,Spring,"COMM 180,  205,  401,  405,  410,  411,  412,  419,  496, or  499*",3
Third Year,Fall,COMM 403 or  409*,3
Third Year,Spring,Minor Course*,3
Third Year,Fall,Minor Course*,3
Third Year,Spring,"CAS 100A,  100B, or  100C‡",3
Third Year,Fall,General Education Course (GQ)‡,3
Third Year,Spring,General Education Course (Exploration),3
Third Year,Fall,BA Knowledge Domain (IL Cultures),3
Third Year,Spring,BA Knowledge Domain,3
Fourth Year,Fall,COMM 403 or  409*,3
Fourth Year,Spring,"COMM 362,  364,  400,  402,  466,  480,  481, or  495*",3
Fourth Year,Fall,"COMM 362,  364,  400,  402,  466,  480,  481, or  495*",3
Fourth Year,Spring,"COMM 180,  205,  401,  405,  410,  411,  412,  419,  496, or  499*",3
Fourth Year,Fall,Minor Course*,3
Fourth Year,Spring,Minor Course*,3
Fourth Year,Fall,"ENGL 202A,  202B,  202C, or  202D‡",3
Fourth Year,Spring,Minor Course*,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
