Major,Degree Type,College
Accounting,B.S.,Smeal College of Business
Actuarial Science,B.S.,Smeal College of Business
Advertising/Public Relations,B.A.,Donald P. Bellisario College of Communications
Aerospace Engineering,B.S.,
African American Studies,B.A.,
African and African American Studies,B.A.,
African Studies,B.A.,
Agribusiness Management,B.S.,
Agricultural and Biorenewable Systems Management,B.S.,
Agricultural and Extension Education,B.S.,
Agricultural Science,B.S.,
Animal Science,B.S.,
Anthropological Science,B.S.,
Anthropology,B.A.,
Architectural EngineeringE.,B.A.,
Architecture,B.S.,
Art Education,B.S.,
Art History,B.A.,
Art,B.A.,
Asian Studies,B.A.,
Astronomy and Astrophysics,B.S.,Eberly College of Science
Biobehavioral Health,B.S.,
Biochemistry and Molecular Biology,B.S.,Eberly College of Science
Biological Engineering,B.S.,
Biology,B.S.,Eberly College of Science
Biomedical Engineering,B.S.,
Biotechnology,B.S.,Eberly College of Science
Chemical Engineering,B.S.,
Chemistry,B.S.,Eberly College of Science
Chinese,B.A.,
Civil Engineering,B.S.,
Classics and Ancient Mediterranean Studies,B.A.,
Communication Arts and Sciences,B.A.,
Communication Sciences and Disorders,B.S.,
"Community, Environment, and Development",B.S.,
Comparative Literature,B.A.,
Computer Engineering,B.S.,
Computer Science,B.S.,
Corporate Innovation and Entrepreneurship,B.S.,Smeal College of Business
Criminology,B.A.,
Cybersecurity Analytics and Operations,B.S.,
Data Sciences,B.S.,
Earth Science and Policy,B.S.,
Earth Sciences,B.S.,
Economics,B.A.,
Education and Public Policy,B.S.,
Electrical Engineering,B.S.,
Elementary and Early Childhood Education,B.S.,
Elementary and Kindergarten Education,B.S.,
Energy Business and Finance,B.S.,
Energy Engineering,B.S.,
Engineering Science,B.S.,
English,B.A.,
Enterprise Technology Integration,B.S.,
Environmental Resource Management,B.S.,
Environmental Systems Engineering,B.S.,
Film Production,B.A.,Donald P. Bellisario College of Communications
Finance,B.S.,Smeal College of Business
Food Science,B.S.,
Forensic Science,B.S.,Eberly College of Science
Forest Ecosystem Management,B.S.,
French and Francophone Studies,B.A.,
Geobiology,B.S.,
Geography,B.A.,
Geosciences,B.A.,
German,B.A.,
Global and International Studies,B.A.,
Health Policy and Administration,B.S.,
History,B.A.,
Hospitality Management,B.S.,
Human Development and Family Studies,B.S.,
Human-Centered Design and Development,B.S.,
Immunology and Infectious Disease,B.S.,
Industrial Engineering,B.S.,
Information Sciences and Technology,B.S.,
Integrative Arts,B.A.,
Integrative Science,B.S.,Eberly College of Science
International Politics,B.A.,
Italian,B.A.,
Japanese,B.A.,
Jewish Studies,B.A.,
Journalism,B.A.,Donald P. Bellisario College of Communications
Kinesiology,B.S.,
Korean,B.A.,
Labor and Human Resources,B.A.,
Landscape Contracting,B.S.,
Latin American Studies,B.A.,
Linguistics,B.A.,
Management Information Systems,B.S.,Smeal College of Business
Management,B.S.,Smeal College of Business
Marketing,B.S.,Smeal College of Business
Materials Science and Engineering,B.S.,
Mathematics,B.A.,Eberly College of Science
Mechanical Engineering,B.S.,
Media Studies,B.A.,Donald P. Bellisario College of Communications
Medieval Studies,B.A.,
Meteorology and Atmospheric Science,B.S.,
Microbiology,B.S.,Eberly College of Science
Middle East Studies,B.A.,
Middle Level Education,B.S.,
Mining Engineering,B.S.,
Multidisciplinary Studies,B.A.,
Music,B.A.,
Nuclear Engineering,B.S.,
NursingN.,B.S.,
Nutritional Sciences,B.S.,
Organizational Leadership,B.A.,
Petroleum and Natural Gas Engineering,B.S.,
Pharmacology and Toxicology,B.S.,
Philosophy,B.A.,
Physics,B.S.,Eberly College of Science
Planetary Science and Astronomy,B.S.,Eberly College of Science
Plant Sciences,B.S.,
Political Science,B.A.,
Premedical-Medical,B.S.,Eberly College of Science
Premedicine,B.S.,Eberly College of Science
Psychology,B.A.,
Real Estate,B.S.,Smeal College of Business
"Recreation, Park, and Tourism Management",B.S.,
Rehabilitation and Human Services,B.S.,
Risk Management,B.S.,Smeal College of Business
Russian,B.A.,
"Science, B.S./Business Administration, M.B.A.",B.A.,Eberly College of Science
Secondary Education,B.S.,
Security and Risk Analysis,B.S.,
Social Data Analytics,B.S.,
Sociology,B.A.,
Spanish,B.A.,
Special Education,B.S.,
Statistics,B.S.,Eberly College of Science
Supply Chain and Information Systems,B.S.,Smeal College of Business
Telecommunications and Media Industries,B.A.,Donald P. Bellisario College of Communications
Theatre,B.A.,
Turfgrass Science,B.S.,
Veterinary and Biomedical Sciences,B.S.,
Wildlife and Fisheries Science,B.S.,
Women's Studies,B.A.,
Workforce Education and Development,B.S.,
World Languages Education,B.S.,
